seq_id,Pdb,Total Energy,Backbone Hbond,Sidechain Hbond,Van der Waals,Electrostatics,Solvation Polar,Solvation Hydrophobic,Van der Waals clashes,Entropy Side Chain,Entropy Main Chain,Sloop Entropy,Mloop Entropy,Cis Bond,Torsional Clash,Backbone Clash,Helix Dipole,Water Bridge,Disulfide,Electrostatic Kon,Partial Covalent Bonds,Energy Ionisation,Entropy Complex,Residue Number
peleke-phi-4_BHRF1_19,1934.4,-223.092,-56.3409,-482.577,-21.6389,697.026,-625.833,1741.14,208.911,644.78,0,0,2.38663,51.2104,980.647,0.490201,0,-3.57988,-0.840049,0,2.3561,0,394,
peleke-phi-4_BHRF1_20,2254.17,-201.794,-50.8045,-494.285,-9.68572,740.223,-630.419,1934.04,211.242,665.456,0,0,2.24811,87.8063,1250.83,-2.25869,0,0.0,-0.0956988,0,2.49139,0,402,
peleke-phi-4_BHRF1_21,2469.33,-183.662,-51.8353,-475.188,-14.4067,730.299,-604.367,2124.2,207.71,673.76,0,0,1.12406,61.1394,1096.77,-1.14013,0,-2.83444,-0.0631828,0,4.5983,0,394,
peleke-phi-4_BHRF1_22,2293.05,-194.734,-63.8169,-505.702,-20.3946,771.216,-644.006,1992.08,218.364,684.618,0,0,3.88597,48.5069,1281.87,-0.164293,0,0.0,-0.312057,0,3.51032,0,401,
peleke-phi-4_BHRF1_23,3096.04,-173.286,-49.7105,-509.054,-4.77166,802.443,-651.894,2673.6,215.01,709.563,0,0,2.24811,79.2929,1525.25,0.504868,0,0.0,-0.248347,0,2.34527,0,411,
peleke-phi-4_BHRF1_24,3337.02,-154.631,-52.6449,-509.092,-9.26166,807.694,-657.53,2879.27,213.723,748.997,0,0,1.12406,68.365,1697.47,0.218417,0,-2.63279,0.102345,0,3.32354,0,398,
peleke-phi-4_BHRF1_25,2956.19,-130.732,-46.5223,-517.081,-10.8932,845.481,-661.085,2435.72,215.859,726.801,0,0,7.70691,87.3655,2152.41,0.00754066,0,0.0,0.896732,0,2.6659,0,398,
peleke-phi-4_BHRF1_26,3216.46,-174.713,-59.6405,-507.231,-17.1438,787.263,-658.063,2836.37,214.317,732.189,0,0,2.24811,62.6841,1542.52,0.138588,0,-3.89681,-0.369688,0,2.30925,0,398,
peleke-phi-4_BHRF1_27,3199.06,-219.127,-62.5035,-501.879,-12.8352,742.375,-644.581,2920.89,212.834,698.095,0,0,2.24811,61.419,1333.48,-0.105981,0,0.0,0.192362,0,2.036,0,406,
peleke-phi-4_BHRF1_28,2636.74,-179.214,-52.5249,-488.079,-12.8736,740.924,-622.075,2266.33,200.69,705.943,0,0,2.24811,71.6025,1337.58,-0.03723,0,0.0,-0.265265,0,4.06923,0,406,
peleke-phi-4_BHRF1_29,3875.41,-189.598,-56.9252,-508.532,-13.7437,796.289,-649.974,3483.78,217.772,719.41,0,0,4.90872,69.2684,1850.67,-0.645073,0,0.0,0.0862118,0,3.30994,0,405,
peleke-phi-4_BHRF1_30,1752.03,-213.281,-50.5531,-467.987,-14.6598,708.024,-593.141,1495.21,195.85,635.91,0,0,1.12406,55.0761,993.307,0.0461138,0,-2.70541,-0.276847,0,3.3982,0,395,
peleke-phi-4_BHRF1_31,1931.09,-191.073,-50.6888,-498.087,-16.6114,759.064,-636.729,1593.53,215.506,702.81,0,0,2.24811,51.6324,1168.32,0.435877,0,-3.2562,-0.144139,0,2.44981,0,397,
peleke-phi-4_BHRF1_32,2021.96,-165.482,-55.275,-480.43,-13.2756,745.184,-611.576,1641.64,204.36,696.073,0,0,8.74316,49.3426,1304.27,0.249407,0,0.0,-0.199273,0,2.60713,0,395,
peleke-phi-4_BHRF1_33,1612.78,-197.562,-57.1598,-497.871,-13.3798,741.212,-635.767,1311.3,215.117,682.076,0,0,3.6173,63.2072,997.134,0.268533,0,-3.88657,-0.0904873,0,1.70431,0,402,
peleke-phi-4_BHRF1_34,1760.9,-186.06,-48.2452,-471.729,-7.36927,721.636,-604.238,1443.03,198.134,664.025,0,0,2.24811,49.2448,1346.88,-0.0133697,0,-3.57379,0.207426,0,3.60182,0,391,
peleke-phi-4_BHRF1_35,2583.13,-181.949,-48.2796,-483.223,-14.0867,744.311,-615.603,2191.56,204.509,729.049,0,0,5.58311,57.1391,1308.69,-0.0993125,0,-8.2042,-0.560411,0,2.98352,0,401,
peleke-phi-4_BHRF1_36,3812.37,-149.172,-57.1802,-500.377,-11.6045,809.259,-641.618,3319.92,215.886,748.279,0,0,8.69338,70.0713,2093.3,-0.00716097,0,-2.16372,0.0407139,0,2.3433,0,394,
peleke-phi-4_BHRF1_37,1909.88,-226.787,-58.7971,-482.923,-12.0672,711.035,-620.163,1661.05,210.201,656.825,0,0,4.14044,64.564,914.781,-0.286703,0,0.0,-0.454067,0,3.53781,0,399,
peleke-phi-4_BHRF1_38,2424.03,-187.478,-56.0788,-502.51,-14.3786,768.657,-645.376,2089.37,214.927,701.747,0,0,2.24811,54.3559,1456.63,-0.292847,0,-3.36054,0.397527,0,1.80372,0,398,
peleke-phi-4_BHRF1_39,2182.89,-187.765,-63.1057,-487.903,-11.1383,732.277,-626.733,1866.82,212.015,683.592,0,0,4.4469,57.8032,1049.75,-0.614805,0,0.0,-0.0668352,0,3.26451,0,396,
peleke-phi-4_BHRF1_40,2344.24,-201.01,-56.2129,-482.759,-12.5124,729.58,-614.614,2071.65,204.319,645.183,0,0,2.24811,56.2251,914.996,-0.0358618,0,0.0,-0.289211,0,2.46744,0,391,
peleke-phi-4_BHRF1_41,2215.78,-159.821,-55.58,-488.779,-19.7538,774.433,-622.612,1832.95,208.961,686.9,0,0,3.53751,52.0944,1515.13,0.295651,0,0.0,-0.615035,0,3.77271,0,397,
peleke-phi-4_BHRF1_42,2150.14,-204.387,-55.8492,-491.548,-16.0109,741.565,-626.325,1857.44,211.732,668.791,0,0,6.03277,57.8726,1204.96,0.694516,0,-3.23908,0.226589,0,3.14243,0,400,
peleke-phi-4_BHRF1_43,2859.66,-188.503,-56.6767,-497.786,-9.41421,755.224,-636.723,2531.28,210.7,680.977,0,0,6.80105,60.715,1403.12,0.499001,0,0.0,0.213748,0,2.35202,0,395,
peleke-phi-4_BHRF1_44,2104.9,-207.233,-61.8746,-485.081,-14.7329,730.637,-620.725,1823.8,205.386,663.82,0,0,3.09648,63.1507,1022.82,0.32358,0,0.0,0.651185,0,3.68649,0,397,
peleke-phi-4_BHRF1_45,1721.36,-206.019,-48.7687,-482.53,-13.994,719.574,-620.109,1473.23,213.543,646.357,0,0,2.24811,42.7632,941.578,-0.109177,0,-7.97056,0.595394,0,2.55048,0,399,
peleke-phi-4_BHRF1_46,2315.94,-189.54,-63.1007,-492.204,-9.59803,749.027,-622.82,1993.9,213.005,674.832,0,0,2.24811,57.2989,1035.7,0.51633,0,0.0,0.0758315,0,2.30495,0,399,
peleke-phi-4_BHRF1_47,2864.77,-187.393,-62.7415,-496.034,-16.5189,769.771,-624.705,2505.95,217.349,694.787,0,0,9.81743,53.2165,1163.84,0.054467,0,-3.93888,0.363757,0,4.793,0,398,
peleke-phi-4_BHRF1_48,1859.42,-183.193,-56.1108,-485.54,-9.26603,725.203,-623.147,1566.17,211.904,667.481,0,0,2.80451,41.3217,1400.6,-0.203953,0,0.0,-0.452552,0,2.45154,0,392,
peleke-phi-4_BHRF1_49,1285.75,-157.178,-35.6492,-458.912,-11.8254,685.507,-589.349,926.304,197.086,674.153,0,0,0.0,52.5128,1048.5,0.00371888,0,0.0,0.335678,0,2.75817,0,391,
peleke-phi-4_BHRF1_50,1865.83,-225.159,-53.3633,-471.033,-12.3997,686.892,-608.132,1626.84,202.399,661.304,0,0,2.24811,56.4409,829.022,0.19991,0,-3.4161,0.518182,0,2.4836,0,395,
peleke-phi-4_EGFR_01,3107.91,-313.154,-91.3065,-1027.08,-25.2369,1574.29,-1295.79,2003.98,458.435,1685.17,0,0,5.77873,142.605,2022.61,-0.747242,0,-11.7596,-0.00982252,0,2.74188,0,974,
peleke-phi-4_EGFR_02,2635.68,-323.455,-96.8152,-972.578,-22.0568,1478.28,-1218.62,1545.49,440.666,1668.46,0,0,2.28795,140.01,1977.9,-0.47253,0,-7.47182,-0.236807,0,2.20251,0,964,
peleke-phi-4_EGFR_03,3268.33,-284.428,-83.0575,-982.59,-21.0625,1497.87,-1239.8,2127.33,430.949,1667.77,0,0,4.00816,153.973,1763.01,-0.461881,0,-5.40591,-0.0230837,0,3.26365,0,964,
peleke-phi-4_EGFR_04,3099.93,-327.382,-92.9602,-1011.38,-17.9563,1516.3,-1280.06,2064.95,449.694,1650.47,0,0,4.78743,148.258,1971.71,-0.536986,0,-6.73305,0.208248,0,2.25778,0,965,
peleke-phi-4_EGFR_05,3431.8,-303.864,-85.2971,-1021.29,-17.1004,1555.48,-1290.07,2282.39,448.891,1712.28,0,0,2.24811,153.701,1849.38,-0.321116,0,-7.56845,-0.370344,0,2.69533,0,976,
peleke-phi-4_EGFR_06,3337.23,-315.067,-97.2913,-1033.62,-25.7187,1569.4,-1308.51,2229.9,462.055,1710.57,0,0,3.29768,148.497,1978.32,-0.722751,0,-7.7447,0.0364701,0,2.14044,0,975,
peleke-phi-4_EGFR_07,3379.93,-289.916,-88.6965,-1011.88,-17.5607,1547.19,-1276.02,2149.05,447.08,1739.75,0,0,6.05755,178.985,2133.21,-0.747189,0,-5.41792,-0.189003,0,2.24986,0,975,
peleke-phi-4_EGFR_08,2582.0,-353.607,-113.776,-1020.79,-18.6824,1524.51,-1286.51,1585.34,456.971,1681.28,0,0,3.01639,133.086,1695.67,-0.592915,0,-10.3957,-0.0444328,0,2.19936,0,975,
peleke-phi-4_EGFR_09,3545.86,-324.622,-106.384,-1030.66,-25.0698,1562.95,-1303.0,2494.17,457.325,1673.23,0,0,10.151,141.276,2020.78,-0.599431,0,-5.45761,-0.0554248,0,2.61955,0,968,
peleke-phi-4_EGFR_10,3156.04,-351.6,-100.592,-1023.54,-19.7267,1554.3,-1287.89,2134.84,448.731,1666.04,0,0,2.24811,137.534,1941.57,-0.769366,0,-5.99794,0.081704,0,2.38175,0,966,
peleke-phi-4_EGFR_11,2864.13,-344.223,-105.157,-1003.42,-22.2765,1510.29,-1265.2,1842.91,451.493,1662.29,0,0,3.86855,138.159,1674.17,-0.487908,0,-7.79344,0.433748,0,3.24003,0,972,
peleke-phi-4_EGFR_12,4020.7,-261.078,-83.1974,-1015.92,-16.5434,1596.58,-1282.51,2724.34,442.621,1735.41,0,0,6.73598,179.324,2082.83,-0.235856,0,-7.09391,-0.0495778,0,2.3093,0,954,
peleke-phi-4_EGFR_13,3519.59,-298.968,-99.944,-1034.39,-22.3764,1587.41,-1302.58,2334.17,454.271,1726.03,0,0,1.1253,180.545,1809.46,-0.710267,0,-7.99377,0.0958151,0,2.89749,0,978,
peleke-phi-4_EGFR_14,3284.64,-324.347,-104.881,-1015.5,-22.5676,1524.92,-1285.91,2225.03,449.92,1693.2,0,0,4.94538,145.46,1810.36,-0.682893,0,-7.55118,0.0276928,0,2.57113,0,972,
peleke-phi-4_EGFR_15,4479.46,-301.103,-89.8941,-1061.52,-25.9826,1627.5,-1344.96,3251.42,462.203,1767.55,0,0,2.52394,196.126,2133.1,-0.652671,0,-6.8404,-0.0182154,0,3.10531,0,976,
peleke-phi-4_EGFR_16,2718.05,-330.159,-94.0327,-1003.76,-20.7208,1495.22,-1272.62,1688.96,443.675,1665.17,0,0,3.37217,148.241,1510.57,-0.82546,0,-7.23309,0.402226,0,2.35917,0,971,
peleke-phi-4_EGFR_17,2923.6,-304.709,-88.1906,-996.463,-25.3093,1512.79,-1261.4,1822.35,448.257,1666.85,0,0,6.93305,148.426,1867.44,-0.436274,0,-8.5482,-0.174122,0,3.22172,0,964,
peleke-phi-4_EGFR_18,3319.14,-305.971,-103.073,-1047.7,-18.4268,1588.46,-1325.25,2180.84,462.789,1727.36,0,0,1.79994,164.526,1925.03,-0.777809,0,-7.70764,-0.212089,0,2.48474,0,969,
peleke-phi-4_EGFR_19,2977.26,-319.228,-97.5415,-1005.68,-16.7769,1508.63,-1273.78,1935.93,446.435,1653.75,0,0,2.24811,147.279,1801.99,-0.597971,0,-5.71191,-0.0207994,0,2.30711,0,967,
peleke-phi-4_EGFR_20,2538.87,-329.557,-104.116,-994.064,-22.9142,1498.02,-1249.8,1458.8,451.103,1676.67,0,0,1.12406,157.786,1643.92,-0.435051,0,-5.80236,-0.0818888,0,2.14873,0,972,
peleke-phi-4_EGFR_21,3891.8,-313.609,-104.789,-1006.27,-28.8709,1551.72,-1265.7,2753.67,445.549,1705.1,0,0,7.02252,150.202,1986.2,-0.301568,0,-6.12048,-0.239583,0,4.42147,0,968,
peleke-phi-4_EGFR_22,3191.28,-298.801,-98.2487,-1010.11,-7.817,1527.15,-1271.85,2033.96,449.061,1706.93,0,0,1.52344,162.833,1866.32,-0.763683,0,-5.37364,0.351427,0,2.44507,0,969,
peleke-phi-4_EGFR_23,3092.67,-314.362,-96.8818,-1002.58,-15.1756,1527.58,-1266.57,1965.13,451.234,1685.63,0,0,2.53326,161.969,1860.99,-0.492919,0,-7.44439,-0.242266,0,2.33396,0,973,
peleke-phi-4_EGFR_24,2838.42,-318.282,-103.448,-998.041,-27.7419,1507.28,-1256.99,1771.9,445.351,1682.3,0,0,2.91223,137.364,1733.29,-0.710816,0,-6.33567,0.178434,0,2.6863,0,973,
peleke-phi-4_EGFR_25,3847.44,-319.494,-93.8439,-1062.79,-22.1447,1610.52,-1347.98,2742.18,470.666,1707.97,0,0,6.00753,166.397,2351.96,-0.509387,0,-11.8872,0.0912583,0,2.26559,0,976,
peleke-phi-4_EGFR_26,3056.55,-326.376,-88.659,-1000.58,-17.9765,1506.45,-1265.44,1984.26,441.877,1678.54,0,0,5.45845,142.479,1904.12,-0.721081,0,-4.89631,0.082661,0,2.04828,0,964,
peleke-phi-4_EGFR_27,4086.15,-309.633,-107.074,-1056.54,-25.2056,1637.52,-1328.98,2911.23,465.989,1726.11,0,0,4.98774,168.125,2491.2,-0.624467,0,-2.02517,0.0641533,0,2.2207,0,969,
peleke-phi-4_EGFR_28,3279.99,-343.502,-105.273,-1046.01,-23.907,1571.15,-1324.14,2248.45,460.533,1698.29,0,0,3.46578,141.959,1747.87,-0.458592,0,-3.828,0.191467,0,3.08106,0,972,
peleke-phi-4_EGFR_29,4768.66,-285.279,-85.879,-1044.88,-18.2503,1635.52,-1319.17,3548.75,451.992,1700.91,0,0,7.21633,182.533,2166.54,-0.662691,0,-5.95494,-0.442626,0,2.25021,0,964,
peleke-phi-4_EGFR_30,3654.84,-352.719,-104.627,-1035.79,-23.2987,1556.57,-1309.29,2619.77,455.311,1697.78,0,0,3.04886,147.505,2141.52,-0.664184,0,-1.99574,0.037535,0,3.20999,0,968,
peleke-phi-4_EGFR_31,2797.11,-339.641,-103.073,-1011.6,-21.5888,1521.5,-1277.93,1790.78,449.107,1657.35,0,0,3.33093,132.469,1599.89,-0.846627,0,-5.06518,-0.0392045,0,2.35479,0,969,
peleke-phi-4_EGFR_32,2893.67,-341.038,-99.7654,-1022.62,-21.3218,1535.05,-1290.67,1876.1,455.344,1669.65,0,0,8.06515,128.302,2216.51,-0.749551,0,-5.2547,-0.29497,0,2.87226,0,969,
peleke-phi-4_EGFR_33,3538.34,-331.453,-92.7034,-1031.93,-20.4788,1566.39,-1305.93,2462.06,456.616,1679.03,0,0,4.42738,155.176,1938.76,-0.412896,0,-6.14233,-0.0657291,0,3.76156,0,969,
peleke-phi-4_EGFR_34,3739.2,-327.405,-100.245,-1039.29,-13.5111,1575.57,-1311.25,2637.2,459.617,1696.28,0,0,2.34736,166.978,1948.26,-0.511755,0,-8.97769,-0.046561,0,2.45549,0,970,
peleke-phi-4_EGFR_35,3686.15,-307.698,-88.9483,-1013.17,-21.242,1559.62,-1276.98,2550.74,448.013,1683.58,0,0,1.55938,155.742,2249.36,-0.51969,0,-7.69066,0.186426,0,2.94481,0,978,
peleke-phi-4_EGFR_36,3800.88,-300.715,-88.3313,-1000.19,-16.2733,1525.41,-1262.29,2634.12,441.215,1696.91,0,0,5.91564,169.861,2050.65,-0.486519,0,-6.58398,-0.163943,0,2.47157,0,960,
peleke-phi-4_EGFR_37,3222.26,-311.139,-100.985,-1013.39,-24.0689,1542.17,-1278.68,2093.61,456.939,1709.45,0,0,3.96144,150.289,2018.85,-0.697247,0,-7.47334,-0.155885,0,2.4237,0,974,
peleke-phi-4_EGFR_38,3590.92,-310.602,-94.9763,-1004.84,-21.8287,1546.8,-1265.42,2422.66,447.193,1703.34,0,0,8.24845,165.607,2266.63,-0.672839,0,-7.60083,0.289061,0,2.71212,0,968,
peleke-phi-4_EGFR_39,3026.6,-333.408,-97.9855,-1008.73,-20.4073,1521.86,-1268.63,1963.58,453.408,1681.1,0,0,1.12406,143.999,1648.9,-0.536589,0,-11.3718,0.115665,0,2.49475,0,970,
peleke-phi-4_EGFR_40,2737.4,-312.333,-94.5258,-998.483,-17.1982,1511.37,-1254.31,1617.15,444.616,1675.53,0,0,5.10175,161.634,1575.56,-0.480864,0,-3.68842,0.045811,0,2.96179,0,964,
peleke-phi-4_EGFR_41,3609.5,-320.563,-104.368,-1033.18,-19.9724,1565.35,-1304.52,2510.01,453.888,1703.86,0,0,5.32947,155.976,1903.96,-0.755881,0,-4.83234,0.0655672,0,3.20828,0,971,
peleke-phi-4_EGFR_42,3793.63,-319.274,-95.5323,-1045.52,-26.184,1601.54,-1322.39,2684.26,459.463,1684.14,0,0,5.0884,169.299,2104.46,-0.304154,0,-4.14424,-0.066739,0,3.26971,0,968,
peleke-phi-4_EGFR_43,2493.54,-326.194,-95.3822,-977.77,-22.1959,1466.24,-1231.38,1437.52,443.977,1656.46,0,0,3.8295,140.17,1631.16,-0.677747,0,-4.11551,0.107589,0,2.95682,0,966,
peleke-phi-4_EGFR_44,3319.78,-341.203,-102.967,-1017.26,-12.9889,1524.03,-1287.83,2284.58,455.035,1685.1,0,0,6.12714,133.563,2089.89,-0.746838,0,-8.57467,0.19221,0,2.72277,0,967,
peleke-phi-4_EGFR_45,3408.54,-307.257,-100.632,-1046.98,-21.2447,1582.14,-1322.69,2285.62,463.917,1726.22,0,0,1.12406,155.097,2029.02,-0.606512,0,-9.24353,0.704452,0,2.37728,0,980,
peleke-phi-4_EGFR_46,3086.43,-309.252,-100.876,-1019.82,-21.1591,1562.35,-1284.2,1978.38,449.564,1684.12,0,0,3.90001,146.928,2023.84,-0.530604,0,-5.15778,-0.721556,0,2.89453,0,967,
peleke-phi-4_EGFR_47,3278.83,-299.058,-83.5041,-1006.68,-13.3889,1546.8,-1271.83,2110.57,441.323,1701.74,0,0,3.60147,157.176,1921.94,-0.732223,0,-9.96039,-0.350202,0,3.12144,0,972,
peleke-phi-4_EGFR_48,3091.76,-317.388,-93.2044,-1003.08,-27.6033,1511.98,-1275.81,2058.92,455.106,1661.24,0,0,6.34704,118.663,1789.99,-0.296604,0,-6.20096,-0.153001,0,3.25127,0,967,
peleke-phi-4_EGFR_49,2986.88,-314.33,-102.908,-1004.76,-27.1726,1527.27,-1262.36,1907.44,450.717,1677.22,0,0,3.59434,139.899,1759.97,-0.727762,0,-9.93927,0.0776154,0,2.85352,0,971,
peleke-phi-4_EGFR_50,3462.59,-301.961,-96.6998,-1008.32,-20.3015,1540.12,-1267.76,2333.27,452.808,1666.35,0,0,3.37861,162.297,1698.69,-0.329753,0,-2.93083,-0.313714,0,2.98042,0,966,
peleke-phi-4_IL-7Ra_01,1542.77,-189.555,-41.6295,-428.455,-3.90372,652.734,-542.2,1223.86,191.094,641.378,0,0,5.2645,44.3295,705.742,0.472696,0,-11.1751,-0.0490291,0,0.604584,0,383,
peleke-phi-4_IL-7Ra_02,1752.24,-135.376,-44.1423,-447.817,-8.66289,682.896,-574.468,1300.84,203.804,695.706,0,0,2.37234,76.7917,1092.81,-0.0805611,0,0.0,0.151532,0,0.218331,0,375,
peleke-phi-4_IL-7Ra_03,1882.7,-165.238,-43.745,-453.025,-7.69855,714.53,-574.684,1456.35,205.444,668.526,0,0,3.40197,77.5552,1092.92,-0.369556,0,0.0,0.663437,0,0.990289,0,386,
peleke-phi-4_IL-7Ra_04,1693.12,-166.524,-41.1705,-441.473,-5.30999,681.794,-558.915,1310.05,193.438,669.95,0,0,0.0,55.474,974.724,-0.226835,0,-4.21268,-0.219005,0,0.460334,0,386,
peleke-phi-4_IL-7Ra_05,1886.78,-132.329,-43.9735,-434.756,-13.4165,693.267,-547.851,1375.89,193.368,723.431,0,0,5.19508,68.6141,1269.64,0.15112,0,-1.53425,-0.104553,0,0.838572,0,381,
peleke-phi-4_IL-7Ra_06,849.01,-189.324,-44.4085,-424.851,-4.7209,618.717,-542.397,576.158,190.362,626.904,0,0,2.24811,46.8966,709.828,-0.288249,0,-6.08103,-0.611692,0,0.407272,0,384,
peleke-phi-4_IL-7Ra_07,1718.71,-142.462,-49.1618,-439.766,-12.9085,690.972,-557.284,1258.81,198.918,702.067,0,0,1.12406,67.6887,1045.61,0.331863,0,0.0,-1.35521,0,1.73275,0,382,
peleke-phi-4_IL-7Ra_08,3990.5,-139.651,-58.6049,-472.633,-5.06734,761.113,-609.099,3465.44,225.795,746.548,0,0,4.17024,71.8526,2054.36,-0.863269,0,0.0,0.445297,0,1.05179,0,376,
peleke-phi-4_IL-7Ra_09,2228.26,-162.895,-58.0429,-463.113,-9.081,729.563,-589.442,1811.52,212.045,699.713,0,0,2.73174,55.796,1626.83,0.0255589,0,0.0,-0.84049,0,0.287213,0,378,
peleke-phi-4_IL-7Ra_10,1711.1,-153.01,-47.4023,-445.102,-5.92892,699.627,-567.73,1268.05,200.886,695.891,0,0,0.0,68.4079,1291.55,-0.271383,0,-2.73353,0.00678797,0,0.402833,0,379,
peleke-phi-4_IL-7Ra_11,1289.96,-154.228,-42.8267,-427.853,-3.54989,647.451,-544.567,928.451,189.12,641.704,0,0,2.24811,55.5493,963.815,0.596628,0,-2.65586,-0.0115516,0,0.534817,0,384,
peleke-phi-4_IL-7Ra_12,1241.66,-139.015,-42.8486,-431.05,-5.35661,650.01,-549.097,830.648,195.014,664.862,0,0,2.24811,65.8705,943.891,-0.157692,0,0.0,-0.020898,0,0.555147,0,377,
peleke-phi-4_IL-7Ra_13,2612.94,-142.681,-50.8738,-452.228,-9.10708,717.995,-578.062,2117.78,201.23,732.266,0,0,1.12406,75.2248,1513.39,-0.0805109,0,0.0,-0.0598369,0,0.411246,0,387,
peleke-phi-4_IL-7Ra_14,1614.01,-145.505,-40.0523,-438.545,-0.592769,667.373,-565.864,1169.22,198.771,712.43,0,0,1.12406,58.4964,1096.6,0.168225,0,-3.17198,-0.326436,0,0.481651,0,380,
peleke-phi-4_IL-7Ra_15,1221.36,-169.645,-42.9472,-429.698,-12.6571,638.735,-546.109,882.922,195.842,647.887,0,0,2.535,61.5203,869.878,-0.325138,0,-6.62707,-0.419445,0,0.350747,0,386,
peleke-phi-4_IL-7Ra_16,2272.93,-188.071,-49.2104,-485.388,-10.7356,759.705,-626.294,1902.27,221.577,685.868,0,0,3.2897,66.3839,1394.04,0.220844,0,-7.02553,-0.237281,0,0.577727,0,381,
